user_detail_name,text,text 2,text 3,text 4,text 5,resource_date_text,content_wrap,from,iplocation,user_detail_tags_text,,attraction_name
fein****0000,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,超出期待。,来自订单,IP属地:山东,铂金贵宾,,都江堰好评
158****7635,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,景色非常美，但是人太多了，排队时间太长了，希望人少的时候再来吧,来自订单,IP属地:陕西,铂金贵宾,,都江堰好评
toto8037,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,谢谢小邱导游耐心细致的讲解，我们路上堵着到晚了也一直等着我们，孩子们一路边听边走边看，学到了很多都江堰的地理历史知识，收获很大呢！,来自订单,IP属地:云南,,,都江堰好评
_WeCh****812592,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,一个值得去看看走走的地方,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
150****1884,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,伟大的工程,来自订单,IP属地:浙江,铂金贵宾,,都江堰好评
M30****540,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,处理问题比较及时，携程客服很耐心,来自订单,IP属地:山西,,,都江堰好评
M29****075,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,旺季不推荐，淡季慢慢逛不错。我们下午到的，先去的仰天窝广场，灌县古城，回来天黑了去看了蓝眼泪，第二天一早去的都江堰，请的导游300元，打车从二王庙旁边进门，从上至下逛不太累,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
M24****020,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,服务态度好，景色很优美,来自订单,IP属地:湖北,,,都江堰好评
m30****9965,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,我是在携程网定的房间，一进房间第一感觉真的很干净清晰，各种设施齐全，电子窗帘，卫生间也特别卫生，总体真的很不错，最重要的是早餐很好吃,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
M29****3053,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,演出不错，水好看,来自订单,IP属地:海南,黄金贵宾,,都江堰好评
meng****978,5分,超棒,景色4,趣味4,性价比4,2025-02-03 发布点评,还是值得来的，比较震撼,来自订单,IP属地:海南,钻石贵宾,,都江堰好评
118****115,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,值得一去的地方，不虚此行,来自订单,IP属地:辽宁,铂金贵宾,,都江堰好评
悠然三寸暖,5分,超棒,景色4,趣味4,性价比4,2025-02-03 发布点评,风景很美，人很多，看到的景色都让人觉得不可以思议！还会再去，相信每一次的感受都会不一样,来自订单,IP属地:云南,铂金贵宾,,都江堰好评
无敌小铁人,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,很棒的体验。上次来还是十年前，感觉这次更惊喜了。携程的讲解团服务超级好，小曾最棒～，古城的好吃的也吃不过来，太喜欢了。,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
无敌小铁人,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,很棒的体验。上次来还是十年前，感觉这次更惊喜了。携程的讲解团服务超级好，古城的好吃的也吃不过来，太喜欢了。,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
M43****5214,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,历史悠久功能多样的水利工程，不由感叹古人的的智慧,来自订单,IP属地:广东,黄金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,2000多年前的水利工程，利在千秋，非常有历史价值，值得带孩子参观了解！春节带孩子在成都呆了几天，吃了美食，去了很多景点，当然都江堰也是非常推荐的,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
_yt1****765,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,带孩子来都江堰水利工程参观，久仰大名但是第一次来，坐地铁转高铁，方便得很。风景是没的说，美丽十分，美食也是一级棒。加上古代文化和水利治理的智慧，是个难得的多合一景区,来自订单,IP属地:陕西,钻石贵宾,,都江堰好评
M22****7629,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,中规中矩吧，没有说特别惊艳,来自订单,IP属地:重庆,铂金贵宾,,都江堰好评
耳双雨段,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,还是便宜不错，下次在来,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,值得一去的地方，老祖宗的智慧真的很牛*！,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,不错不错，老祖宗真的很智慧！,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
M43****505,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,很有意义的一次旅行,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
dsw602319851,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,环境优美，出行方便。其实路程倒也不远。惊叹古人的智慧。,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
dsw602319851,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,从6号门入，全程不走回头路，从一号门离堆公园处。就进入了游客中心。,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
阿立Malik,4分,满意,,,,2025-02-02 发布点评,"那是一次很好的体验,主要摄影的地方在公园正门的公园外面,所以我觉得进去玩那里不是物有所值。你可以呆在那个地方的门口,河经过,你可以在那里拍照。",来自Trip.com,IP属地:未知,,,都江堰好评
M46****6244,5分,超棒,景色5,趣味3,性价比5,2025-02-02 发布点评,景色秀丽，服务到位，虽然人很多，但工作人员安全意识很强，服务态度好，问任何问题工作人员都很有耐心．过索桥时看到老人安保人员主动上前搀扶,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,成都必打卡景点之一 距离成都80公里左右 交通非常便利 游都江堰也就是直观感受古人的智慧，算是古代最有名的水利工程。最好请导游讲解。,来自订单,IP属地:辽宁,黄金贵宾,,都江堰好评
M57****115,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,全程无忧很OK,来自订单,IP属地:江苏,铂金贵宾,,都江堰好评
M37****9273,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,张导一路讲解，专业，热情！,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
匿名用户,4分,满意,景色5,趣味4,性价比4,2025-02-02 发布点评,最惊讶的是山上供奉的各路神仙，人太多了也不限流，出来的时候根本举步维艰很恐怖,来自订单,IP属地:重庆,铂金贵宾,,都江堰好评
M56****464,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,导游非常专业讲解，声音甜美，旅途体贴入微地关心，是非常舒服的感受，谢谢导游,来自订单,IP属地:四川,钻石贵宾,,都江堰好评
左蓝右红,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,长见识了。。。,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,长见识了。。。,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
Laura华华,5分,超棒,景色4,趣味4,性价比3,2025-02-02 发布点评,值得去，环境好,来自订单,IP属地:广东,钻石贵宾,,都江堰好评
_gf520****405801,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,还好，有礼貌,来自订单,IP属地:中国香港,,,都江堰好评
拉绍德封苏秦,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,漂亮漂亮漂亮,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
320****273,4分,满意,景色4,趣味3,性价比4,2025-02-02 发布点评,为了过桥要排超级长的队,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
M57****348,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,孩子看到了很多书上没有的东西，读万卷书，行万里路！,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
M57****348,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,涨了见识，了解了历史！适合孩子学习旅游,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
冷静的人,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,适合慢游！,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
冷静的人,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,家庭亲子慢游！,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
老林老兵,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,景色优美水利工程很伟大,来自订单,IP属地:四川,钻石贵宾,,都江堰好评
老林老兵,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,伟大的水利工程优美的景色,来自订单,IP属地:四川,钻石贵宾,,都江堰好评
呆呆的猪猪1028,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,川ADJ1577，师傅非常棒，又快又稳！,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
LeaderJ,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,不错，值得一去,来自订单,IP属地:重庆,黑钻贵宾,,都江堰好评
08yuanyuan,5分,超棒,景色4,趣味4,性价比5,2025-02-02 发布点评,非常好！ 当天出发买票都行 不需要提前约，一个人的话我都搭火车到离堆公园，有接驳车（10元）直接送秦堰楼6号出入口，从上面玩下来非常棒！只是80元说实话其实有点小贵..,来自订单,IP属地:中国香港,黄金贵宾,,都江堰好评
_ucwe****028554,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,伟大的工程,来自订单,IP属地:浙江,铂金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,酒店服务超级贴心，小哥哥和小姐姐态度超级温柔！,来自订单,IP属地:福建,黄金贵宾,,都江堰好评
M42****522,5分,超棒,景色4,趣味3,性价比4,2025-02-02 发布点评,导游挺耐心 讲解到位 和孩子聊的不错??,来自订单,IP属地:四川,,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,讲解生动详细 服务热情周到,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,"值得一看，文化和自然景观合二为一，春节人多。
推荐观看上善都江堰演出，演员敬业，还有盖碗茶，这次VIP座位坐到第一排，孩子看得很兴奋。",来自订单,IP属地:北京,铂金贵宾,,都江堰好评
西特拉斯多洛雷斯,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,杨敏导游娓娓道来，让我们了解了伟大的水利工程都江堰，不虚此行！五星好评！,来自订单,IP属地:四川,,,都江堰好评
_WeCh****39530,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,值得去一趟,来自订单,IP属地:云南,铂金贵宾,,都江堰好评
李娜哦,5分,超棒,景色5,趣味5,性价比3,2025-02-02 发布点评,带孩子去玩，特别值得一去,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
M25****3500,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,小王讲解得非常好，让我们对都江堰有一个全面全新认识，赞！,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
M31****3808,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,非常好的体验，向大家推荐。,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
138****5528,5分,超棒,景色5,趣味5,性价比4,2025-02-02 发布点评,鱼嘴，飞沙堰，宝瓶口印象深刻,来自订单,IP属地:广东,铂金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,景色秀丽自然，适合徒步旅行！,来自订单,IP属地:云南,黄金贵宾,,都江堰好评
wj2950,5分,超棒,景色5,趣味3,性价比4,2025-02-02 发布点评,都江堰是非常著名的水利工程，它的建成成就了成都平原沃野千里，非常值得去现场一看，建议非节假日过来仔细的游览，节假日过来的话就晓得仓促而且人超级多,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
匿名用户,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,不错风景秀丽,来自订单,IP属地:四川,铂金贵宾,,都江堰好评
300****509,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,导演讲的很好,来自订单,IP属地:四川,钻石贵宾,,都江堰好评
_M13****7137,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,除了人多，讲解是非常到位的，韩老师深入浅出的讲解，让孩子们了解了都江堰水利工程的伟大,来自订单,IP属地:四川,,,都江堰好评
M32****37,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,值得去的地方,来自订单,IP属地:河北,铂金贵宾,,都江堰好评
M29****7682,5分,超棒,景色5,趣味5,性价比5,2025-02-01 发布点评,值得一去，尽量避开节假日出行。,来自订单,IP属地:四川,黄金贵宾,,都江堰好评
