user_detail_name,user_detail_tags_text,text,text 2,text 3,text 4,text 5,content_wrap,from,iplocation,,,attraction_name
_yt1****365,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,学生半价票，60岁以上免门票,来自订单,IP属地:北京,,,杜甫草堂好评
_yt1****365,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,公园很大，园林绿化不错，诗人们的雕塑有特色，春节期间有古装扮相的工作人员与游客互动活动，还有安排传统文化演出，文创产品设计也不错。值得参观打卡,来自订单,IP属地:北京,,,杜甫草堂好评
Mr.沈从文,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,好好好好好好好好,来自订单,IP属地:江苏,,,杜甫草堂好评
M25****6058,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,非常满意，带队老师讲解详细，妙趣横生，有问有答，知识性强，带小孩参观，强力推荐。,来自订单,IP属地:广东,,,杜甫草堂好评
l****ts,,5分,超棒,景色5,趣味5,性价比5,杜甫草堂是被严重低估了的景点。这里有文化，有园林，有山水，有故事，有互动。这里的团林景观是最好的，而且相对于其他景点，这里还算人不多。现在就是交通不太方便，十三号线什么时候开通?,来自订单,IP属地:四川,,,杜甫草堂好评
石头聪聪,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,感觉非常良好,来自订单,IP属地:甘肃,,,杜甫草堂好评
岚绣儿,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,很好，值得看！刚好赶上初七  人日去的   园内的官方讲解员很专业  很负责,来自订单,IP属地:辽宁,,,杜甫草堂好评
潇洒走一遭,铂金贵宾,5分,超棒,景色5,趣味4,性价比5,环境幽雅，值得一探,来自订单,IP属地:福建,,,杜甫草堂好评
_WeCh****57234,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,春节期间人超级多，导游小姐姐专业知识丰富，全程讲解引人入胜！,来自订单,IP属地:四川,,,杜甫草堂好评
m28****7204,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,腊梅、红梅香满园，阴雨天别有风味,来自订单,IP属地:北京,,,杜甫草堂好评
xiu****ee12,铂金贵宾,5分,超棒,景色5,趣味4,性价比5,草堂人比较多，里面的腊梅特别漂亮。,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,别赶放假来，听劝啊,来自订单,IP属地:四川,,,杜甫草堂好评
小贾斯叮,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,很有江南园林特色，很不错,来自订单,IP属地:四川,,,杜甫草堂好评
M48****6057,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,推荐，值得去。,来自订单,IP属地:新疆,,,杜甫草堂好评
提拉米苏1020,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,风景很优美，和浣花溪公园相连。草堂文化底蕴很深，有很多值得孩子们去学习的地方，像古诗词、书法作品等都值得去品评。,来自订单,IP属地:四川,,,杜甫草堂好评
M47****402,铂金贵宾,4分,满意,景色4,趣味4,性价比4,请了导游还是可以一游的，其实就是感觉下茅屋为秋风所破。地方不大，喜欢杜甫的可以来。,来自订单,IP属地:四川,,,杜甫草堂好评
205****582,钻石贵宾,4分,满意,景色5,趣味4,性价比4,地方很大，园林风景优雅,来自订单,IP属地:四川,,,杜甫草堂好评
咖啡冰激凌,钻石贵宾,4分,满意,景色5,趣味4,性价比4,了解诗圣杜甫的生平，进入杜甫居住的茅草屋（修复），感受窗含西岭千秋雪的意境，杜甫草堂环境幽雅，比较值得去逛逛看看。逛累了在园内茶室点壶茉莉花茶，坐坐歇歇脚，非常舒适惬意。,来自订单,IP属地:四川,,,杜甫草堂好评
M29****300,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,各种梅花争相开放,来自订单,IP属地:广西,,,杜甫草堂好评
赤霞珠,黑钻贵宾,5分,超棒,景色5,趣味5,性价比5,来了就要请讲解，不然看园子没意思。草屋不用看，假货,来自订单,IP属地:上海,,,杜甫草堂好评
M22****3083,,5分,超棒,景色5,趣味5,性价比5,空气清新，景色别致，不虚此行，正赶上腊梅开放，拍出的照片非常美！！提醒大家尽量九点一开门就入园，园里很清静，趁着人少可以好好逛一逛！很尽兴！,来自订单,IP属地:北京,,,杜甫草堂好评
gao****416,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,就那样吧，50块的门票感觉有些许高，学生25，进去就拍拍照，人还不算太多！,来自订单,IP属地:重庆,,,杜甫草堂好评
果壳中的宇宙,钻石贵宾,5分,超棒,景色5,趣味4,性价比5,总体感觉挺好,来自订单,IP属地:辽宁,,,杜甫草堂好评
M47****402,铂金贵宾,4分,满意,景色4,趣味4,性价比4,地方不大，老师知识比较渊博，滔滔不绝，但1.5小时有点长了，而且一个点停留时间过久，讲解不是特别的全，草庐也没有带进去。建议多多带着走动走动。,来自订单,IP属地:四川,,,杜甫草堂好评
M26****2294,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,文创区景区面积还大,来自订单,IP属地:河南,,,杜甫草堂好评
ho****n,黄金贵宾,5分,超棒,景色5,趣味5,性价比4,入园方便但是价格稍高，门票价格都赶上故宫了,来自订单,IP属地:云南,,,杜甫草堂好评
匿名用户,,5分,超棒,景色4,趣味4,性价比4,文创产品很棒，冰箱贴，书签，钥匙链等应有尽有。特色饮品还可以加把劲。现场的读诗活动很有趣。另外建议多设置一些休息设施，让老人孩子逛累了能休息会。,来自订单,IP属地:四川,,,杜甫草堂好评
M53****5141,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,环境优美值得参观,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,园林很美，有人文有园林山水！,来自订单,IP属地:四川,,,杜甫草堂好评
拉翁莱塔普贺若弼,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,学习到古诗的作者诗圣杜甫生平。,来自订单,IP属地:甘肃,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,环境很优美，儒雅。不错,来自订单,IP属地:山东,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,核销方便，直接刷身份证入场。建议提前做好功课或者请导游，否则只是走马观花看风景。,来自订单,IP属地:天津,,,杜甫草堂好评
黑马踏樱花,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,和闺女一起去的，这些你都要背，闺女就不高兴了??,来自订单,IP属地:北京,,,杜甫草堂好评
匿名用户,铂金贵宾,4分,满意,景色5,趣味3,性价比3,就是人太多了，环境很美，到处都是梅花香，环境的确非常非常的美，有种身临梅园中的感觉,来自订单,IP属地:四川,,,杜甫草堂好评
三秦浪子游天涯,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,安得广厦千万家，大庇天下寒士俱欢颜！,来自订单,IP属地:陕西,,,杜甫草堂好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,还不错，挺值得的,来自订单,IP属地:四川,,,杜甫草堂好评
toto8037,,5分,超棒,景色5,趣味5,性价比5,一定要请讲解，不然看不明白，讲解员带着一步一讲解，孩子听的很认真，推荐。杜甫草堂不只是杜甫有关，还有历史，和唐朝其他诗人介绍，知识量很大,来自订单,IP属地:云南,,,杜甫草堂好评
_M15****1119,,4分,满意,景色4,趣味4,性价比4,人太多了，,来自订单,IP属地:四川,,,杜甫草堂好评
_M15****1119,,4分,满意,景色4,趣味4,性价比4,还不错，就是人太多,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比4,被园外的美景吸引，预留园内游览时间不够，园内更美，值得再游。,来自订单,IP属地:重庆,,,杜甫草堂好评
eric_yong,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,环境非常好，身临其境还能与诗圣开场穿越千年的神交。,来自订单,IP属地:北京,,,杜甫草堂好评
137****6616,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,简单了一点，里面有草堂和一些石碑,来自订单,IP属地:安徽,,,杜甫草堂好评
137****0329,,5分,超棒,景色5,趣味5,性价比5,环境优美 有诗意,来自订单,IP属地:四川,,,杜甫草堂好评
差不多先生,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,文化氛围浓，活动多,来自订单,IP属地:天津,,,杜甫草堂好评
差不多先生,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,推荐去看看,来自订单,IP属地:天津,,,杜甫草堂好评
_M13****0707,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,环境优美，鸟语花香，正值梅花盛开，花香习习，沁人心脾，初七人日幸运的获得免费门票，还有免费的梅花敬献诗圣，还参加答题活动，NPC很热情博才。,来自订单,IP属地:四川,,,杜甫草堂好评
D79****98,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,很惬意的一个大公园，带文化带绿化很棒的体验。可以多转转看看，盆景很不错确实是个好地方。记得早点去感受下文化气息和大树绿荫。值得体验。,来自订单,IP属地:四川,,,杜甫草堂好评
zh****7,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,导游讲解很细致，非常满意,来自订单,IP属地:上海,,,杜甫草堂好评
110****383,,5分,超棒,景色5,趣味4,性价比5,人多。人多。人真多,来自订单,IP属地:湖南,,,杜甫草堂好评
110****383,,5分,超棒,景色5,趣味5,性价比5,人多。讲解一般,来自订单,IP属地:湖南,,,杜甫草堂好评
M47****1408,铂金贵宾,4分,满意,景色5,趣味3,性价比5,园内绿树成荫、湖泊潺潺、花木繁盛，红墙、翠竹、绿水相互映衬，构成了一幅幅优美的画面，漫步其中，仿佛置身于诗画之中。,来自订单,IP属地:上海,,,杜甫草堂好评
134****1237,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,还凑合吧，地方也挺大,来自订单,IP属地:内蒙古,,,杜甫草堂好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,冬日游草堂，赏梅赏字，寻古追远，很惬意。建议安排三小时以上。春节期间还有表演，氛围很好。有正门，北门和南门，均可进入参观。听听讲解会更深入了解杜甫草堂。,来自订单,IP属地:广东,,,杜甫草堂好评
M88****6863,,5分,超棒,景色5,趣味5,性价比5,好哈哈哈哈哈,来自订单,IP属地:四川,,,杜甫草堂好评
花仙子娜娜,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,带孩子过年时候去的，人虽然多，但还是看到不少的关于杜甫的事件让孩子张张见识,来自订单,IP属地:四川,,,杜甫草堂好评
118****990,铂金贵宾,5分,超棒,景色5,趣味4,性价比5,景区面积真大，细细品味需要大半天。,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,人太多了，不过里面还是不错的，风景宜人，梅花都开了。也学习了不少文化知识。,来自订单,IP属地:上海,,,杜甫草堂好评
M22****789,铂金贵宾,5分,超棒,景色5,趣味5,性价比4,景色优美，节日氛围很好，门票价格略高。,来自订单,IP属地:四川,,,杜甫草堂好评
LT是小可爱,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,这学期娃背了好多杜甫诗，来成都肯定要去看看杜甫草堂的呀，园子蛮大的，环境很好，约了人工讲解讲的还蛮专业的，小姐姐声音也很好听，旁边就是杜甫公园，景色也很好的。,来自订单,IP属地:四川,,,杜甫草堂好评
zh****7,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,杜甫草堂很漂亮，值得一去,来自订单,IP属地:上海,,,杜甫草堂好评
139****2305,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,景区环境很好，景色也很不错，就是春节期间人比较多，讲解不好约，只能走马观花看看了,来自订单,IP属地:四川,,,杜甫草堂好评
110****123,黄金贵宾,4分,满意,景色5,趣味3,性价比3,可以去一次,来自订单,IP属地:浙江,,,杜甫草堂好评
匿名用户,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,太美了，喜欢兰亭的兰花，已经盛开，各种颜色，有橘色、粉色、绿色、粉色，美的令人舍不得离开。杜甫草堂从东门进，一路玫红色的梅花挂满枝头，伴随春节大红灯笼格外喜庆,来自订单,IP属地:北京,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,杜甫草堂环境不错，就是人太多了。,来自订单,IP属地:四川,,,杜甫草堂好评
国际米兰11122,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,还不错的酒店,来自订单,IP属地:重庆,,,杜甫草堂好评
206****126,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,杜甫草堂值得去，网上订票很方便,来自订单,IP属地:北京,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,院内景色非常好，适合拍照打卡。,来自订单,IP属地:重庆,,,杜甫草堂好评
M22****2763,黄金贵宾,4分,满意,景色5,趣味4,性价比3,人文价值比较高，风景跟普通公园差不多的风景。,来自订单,IP属地:浙江,,,杜甫草堂好评
M28****179,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,解说员超级专业好客。很好很给力，新年快乐,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,人多但是景色还行，里面很大，认真逛得两小时，拍照景色很多。有很多诗词等。,来自订单,IP属地:四川,,,杜甫草堂好评
M42****4868,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,在里面有点搞不清方向,来自订单,IP属地:四川,,,杜甫草堂好评
134****9230,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,诗圣杜甫名垂青史！草堂景色超级美，罗导解说超级赞。,来自订单,IP属地:四川,,,杜甫草堂好评
richardteng3,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,环境优雅，历史文化教育！,来自订单,IP属地:福建,,,杜甫草堂好评
hou****gwei,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,整体还可以，人太多了,来自订单,IP属地:四川,,,杜甫草堂好评
带着兜兜看世界,,5分,超棒,景色5,趣味5,性价比5,很适合闲逛的园子，一入园诗情画意尽显，旁边的浣花溪公园也特别推荐,来自订单,IP属地:上海,,,杜甫草堂好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,来成都的第一站就去了杜甫草堂，人文气息足，景色很美，诗词长廊很赞，玩了三个小时，还有免费的讲解。梅花也很漂亮，不停拍拍拍，值得推荐，值回票价。,来自订单,IP属地:四川,,,杜甫草堂好评
M30****2857,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,风景不错值得一游,来自订单,IP属地:重庆,,,杜甫草堂好评
M18****808,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,不虚此行！园区很大,来自订单,IP属地:四川,,,杜甫草堂好评
M27****5483,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,树木花草繁多，注意蚊虫叮咬，去之前可以备点花露水防蚊虫的花露水，里面很大，亭阁楼宇假山流水环境非常好，很适合带娃游玩，树荫处挺多夏天去也不会太炎热,来自订单,IP属地:江苏,,,杜甫草堂好评
M27****5483,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,树木花草多蚊虫也多，不过很值得去，里面很大，小桥流水草屋假山，树荫遮阳,来自订单,IP属地:江苏,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,值得去，在里面溜达太好了。,来自订单,IP属地:贵州,,,杜甫草堂好评
lucas丶,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,非常好的一次出游，杜甫草堂值得一看。,来自订单,IP属地:四川,,,杜甫草堂好评
lucas丶,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,值得一去，很有诗意，孩子学到很多知识。景区里面的植物生长茂盛，空气湿度非常舒服。,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,推荐去游玩！,来自订单,IP属地:福建,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,还是可以。,来自订单,IP属地:四川,,,杜甫草堂好评
sophie森森,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,这次是下午去的，人不多，我们也是匆匆逛完，感觉是还可以二刷的景点，非常推荐！,来自订单,IP属地:北京,,,杜甫草堂好评
M47****9350,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,值得一去，很好玩的地方，看到了唐代杜甫的遗址，感觉很好，大诗人住的地方很不错,来自订单,IP属地:四川,,,杜甫草堂好评
158****9278,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,过年期间，人太多了,来自订单,IP属地:四川,,,杜甫草堂好评
300****548,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,杜甫草堂里面亭台楼榭非常美，娟娟溪水潺潺流动，梅花红艳，竹林清幽。一边听着导游声情并茂地讲解，一边欣赏草堂美景，豪爵非常美好，人生必去的资格景区。,来自订单,IP属地:四川,,,杜甫草堂好评
M23****938,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,可以可以，非常不错，很喜欢,来自订单,IP属地:四川,,,杜甫草堂好评
M26****2345,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,非常方便快捷，值得一去,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,钻石贵宾,5分,超棒,景色5,趣味5,性价比4,景色非常好，适合带孩子去,来自订单,IP属地:四川,,,杜甫草堂好评
朱朱侠888,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,环境好，风景好,来自订单,IP属地:四川,,,杜甫草堂好评
朱朱侠888,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,非常棒的地方,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,环境清幽，干净卫生，讲解到位,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,,5分,超棒,景色5,趣味5,性价比5,不用取票，刷身份证直接进，很方便！人很多，排队依序进入，不过胜在地方宽敞，进去也不太挤！跟唐朝大诗人有关的历史知识在这里都能了解到！,来自订单,IP属地:云南,,,杜甫草堂好评
M15****301,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,地方很大，适合亲子出行，建议要一个讲解器，边看边听，春节期间还有演出。,来自订单,IP属地:广东,,,杜甫草堂好评
匿名用户,黄金贵宾,4分,满意,景色5,趣味3,性价比3,请导游好点，春节人太多了,来自订单,IP属地:吉林,,,杜甫草堂好评
sky****nu,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,非常不错，环境很优雅,来自订单,IP属地:北京,,,杜甫草堂好评
300****904,,4分,满意,景色4,趣味5,性价比4,最大的惊喜的兰花园,来自订单,IP属地:河南,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,感受文化氛围，值得一看。,来自订单,IP属地:四川,,,杜甫草堂好评
M31****500,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,景色不错、推荐,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,不错，非常好，值得游览。,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,整体环境不错，适合游览。,来自订单,IP属地:四川,,,杜甫草堂好评
M50****2802,黄金贵宾,4分,满意,景色4,趣味4,性价比4,挺好的。。,来自订单,IP属地:湖北,,,杜甫草堂好评
刘兆辉,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,好好好好好,来自订单,IP属地:黑龙江,,,杜甫草堂好评
当当啦007,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,20年后再次参观，带着父母孩子一起去，属于大景点，逛的有点倒，还是应该按路线会更好。蚊子太多了，又毒，务必要带防蚊液，要不一年都好不了,来自订单,IP属地:江苏,,,杜甫草堂好评
当当啦007,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,20年后再次参观，找到了当年的看得地方，值得一看，属于大景点，风景不错。带着孩子父母，这种景点不累，但蚊子超多，被咬伤了，蚊子又小，又毒,来自订单,IP属地:江苏,,,杜甫草堂好评
@漂流瓶…,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,很不错推荐,来自订单,IP属地:重庆,,,杜甫草堂好评
@漂流瓶…,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,可可以可以,来自订单,IP属地:重庆,,,杜甫草堂好评
M61****278,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,很值得一去，讲解水平高。,来自订单,IP属地:四川,,,杜甫草堂好评
60****773,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,浅浅的了解和学习了一下，挺有意义，2个小时的游览时间足够了。可以去看看！,来自订单,IP属地:北京,,,杜甫草堂好评
匿名用户,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,导游很好，讲解的很细致。,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,讲解的很细致，导游很好。,来自订单,IP属地:四川,,,杜甫草堂好评
Macylee2023,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,非常非常满意，好玩，开心,来自订单,IP属地:四川,,,杜甫草堂好评
320****208,铂金贵宾,5分,超棒,景色5,趣味5,性价比4,有了导游讲解，一个平平无奇的景点，展示了杜甫跌宕起伏的一生，很精彩,来自订单,IP属地:四川,,,杜甫草堂好评
转转1223,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,尤其是春节期间值得来一趟，有春节表演，非常好看！景区外和景区内的工作人员非常友好，下了地铁可以骑个共享自行车，景区门口就有存放自行车的地方。,来自订单,IP属地:内蒙古,,,杜甫草堂好评
端木成,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,还算不错。,来自订单,IP属地:贵州,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,整个园区环境优雅，让人赏心悦目。,来自订单,IP属地:重庆,,,杜甫草堂好评
匿名用户,,5分,超棒,景色5,趣味5,性价比5,空气清新舒适环境优雅，古香古色的。,来自订单,IP属地:四川,,,杜甫草堂好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,很好很不错,来自订单,IP属地:四川,,,杜甫草堂好评
M27****7423,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,进馆有点儿晚，不知道有有演出，看到时已是尾声，有点儿遗憾，其它都不错，腊梅花开正当时,来自订单,IP属地:四川,,,杜甫草堂好评
_WeCh****048769,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,杜甫草堂携程请的讲解非常生动，讲解易懂，收货很大。值得带娃去看看,来自订单,IP属地:重庆,,,杜甫草堂好评
67****378,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,好，很好，就是好，好的多,来自订单,IP属地:河北,,,杜甫草堂好评
冬之冬,铂金贵宾,4分,满意,景色3,趣味3,性价比2,体验不是很好,来自订单,IP属地:四川,,,杜甫草堂好评
yutou1213,,5分,超棒,景色4,趣味4,性价比4,秋天的草堂很美,来自订单,IP属地:云南,,,杜甫草堂好评
M47****906,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,非常漂亮的地方，而且对诗人有了更深的了解,来自订单,IP属地:四川,,,杜甫草堂好评
vilinchen,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,快捷方便，成都线上线下同价，这个好，不用烦对比,来自订单,IP属地:广东,,,杜甫草堂好评
