user_detail_name,user_detail_tags_text,text,text 2,text 3,text 4,text 5,resource_date_text,content_wrap,iplocation,,,attraction_name
匿名用户,铂金贵宾,4分,满意,景色4,趣味4,性价比4,2025-02-05 发布点评,票价有点贵，有点不太划算。,IP属地:湖北,,,大熊猫基地好评
Kee Kwong chew chit son,,5分,超棒,,,,2025-02-05 发布点评,一个很棒的地方。,IP属地:未知,,,大熊猫基地好评
M38****4015,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,实在是太哇塞了,IP属地:四川,,,大熊猫基地好评
_WeCh****648957,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,体验感很好，导游很负责,IP属地:陕西,,,大熊猫基地好评
匿名用户,钻石贵宾,4分,满意,景色5,趣味3,性价比3,2025-02-05 发布点评,"感觉性价比不是特别高，不过看熊猫嘛，纯看运气，看熊猫们的营业心情，不然就是都在睡觉。
反正我去的时候熊猫宝宝什么馆的都没有任何东西。总体感觉完全没有把这个主题做好。",IP属地:浙江,,,大熊猫基地好评
岚绣儿,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,为了避开高峰期   进入去得比较早   没有按预定计划跟导游走      导游提前联系了几次  总体感觉挺好的,IP属地:辽宁,,,大熊猫基地好评
_WeCh****280882,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,太可爱了，早上去刚好，他们吃竹子,IP属地:四川,,,大熊猫基地好评
_WeCh****280882,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,太可爱了，萌萌的。爱,IP属地:四川,,,大熊猫基地好评
M22****2754,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-05 发布点评,很好玩～下次会再去的，就是去的时候不知道那边比较冷，忘记带一件厚一点的衣服了,IP属地:广东,,,大熊猫基地好评
涵琴默默,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,停车方便，干净整洁，感受不错.,IP属地:陕西,,,大熊猫基地好评
小贾斯叮,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,运气好才能看到熊猫,IP属地:四川,,,大熊猫基地好评
北京鱼头,黄金贵宾,4分,满意,景色4,趣味4,性价比4,2025-02-04 发布点评,人多猫少，还没动物园儿看的清楚,IP属地:四川,,,大熊猫基地好评
匿名用户,铂金贵宾,4分,满意,景色4,趣味4,性价比4,2025-02-04 发布点评,一般，人太多了，走的路也太多，绕来绕去，花花也没看到，看到的大熊猫都一样,IP属地:甘肃,,,大熊猫基地好评
干干净净做人,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,国宝熊猫花花,IP属地:辽宁,,,大熊猫基地好评
Sioen猫,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,熊猫太可爱了，都是宝宝宝宝?一号大熊猫离游客最近，其他大熊猫都有段距离，推荐上午去，大多数都在吃竹子，下午去好些都在睡觉了。小熊猫也很可爱。景区外的伙食非常一般，建议自己带吃的去,IP属地:四川,,,大熊猫基地好评
yufrose,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,园区非常大，组织的也挺好，大熊猫懒洋洋的藏在树丛中，有时候还看不到，开始还担心看不到行动的大熊猫，最后看到了大熊猫在吃竹子，大熊猫在溜达，大熊猫在树杈上非常可爱,IP属地:北京,,,大熊猫基地好评
M42****7622,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,还是很好的,IP属地:湖北,,,大熊猫基地好评
mingstars,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,挺好的整体满意,IP属地:上海,,,大熊猫基地好评
boccaccioct,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,"基地离市中心有一定距离，不过打车去居然只要24块，不贵，也是没想到。

提前在微信小程序或者携程上预约时间，买好门票。尽量早点去，越晚去人越多，明星熊（比如花花）排队就越长。我们8点半到的，入园排了挺久的，花花6号别墅门口更是队伍排了几里地了，排队俩小时，相看三分钟。我们下午要去赶高铁，就放弃了，时间充裕的一定看花花。

花花没看到也没关系，南门附近几个别墅人多，先往后走走，后面人不多的，路也宽敞，每个熊熊都能看到。月亮产房、星星产房的小宝宝特别可爱。

基地里文创纪念品比市中心的好得多，走过路过不要错过，满包邮的，喜欢的不要犹豫。熊猫冰淇淋也可以尝尝，奶香味很浓，好吃的。",IP属地:江苏,,,大熊猫基地好评
M21****739,铂金贵宾,4分,满意,景色5,趣味5,性价比4,2025-02-04 发布点评,人超级多，摆渡车需要长时间等待。步行还是比较累的，如果有老人儿童最好还是坐摆渡车。西门相对人少一些，如果不是专门看花花，西门进是不错的选择。星星产房熊猫比较多，可以看到更多熊猫。,IP属地:四川,,,大熊猫基地好评
匿名用户,,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,非常值得去的地方，环境优美，服务很棒，滚滚们憨态可掬。服务设施齐全，,IP属地:四川,,,大熊猫基地好评
匿名用户,,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,非常值得去的地方，环境优美，滚滚们憨态可掬。,IP属地:四川,,,大熊猫基地好评
M75****2117,,4分,满意,景色5,趣味4,性价比4,2025-02-04 发布点评,服务超级棒,IP属地:四川,,,大熊猫基地好评
罗铃千都(德国莱茵康复理疗讲师),,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,"成都大熊猫基地，一个充满生机与乐趣的地方，无疑是大人孩子们探索大自然、亲近国宝大熊猫的绝佳去处。这里，不仅是大熊猫的乐园，更是游客们放松心情、享受自然的胜地。

一踏入基地，仿佛进入了一个充满童话色彩的世界。基地占地面积广阔，以造园手法模拟大熊猫野外生态环境，大熊猫产房、熊猫饲养区、科研中心、熊猫医院分布有序。漫步其间，你可以看到若干处豪华熊猫“别墅”散落于山林之中，这里是大熊猫们的温馨家园。它们或慵懒地躺在树上晒太阳，或活泼地在草地上嬉戏打闹，每一个动作都憨态可掬，让人忍俊不禁。",IP属地:中国台湾,,,大熊猫基地好评
weit****110,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,不错 就是人超级多 不过看到熊猫了 就是里面没有太好吃的饭店 下次有机会还会来的 我买的套票 钥匙链没看见在哪里取 问过了说没有啊,IP属地:海南,,,大熊猫基地好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,熊猫很多，很可爱！,IP属地:四川,,,大熊猫基地好评
唐德卡门,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,挺好的。。。。,IP属地:陕西,,,大熊猫基地好评
全南广,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,不错不错不错,IP属地:河北,,,大熊猫基地好评
320****681,黄金贵宾,4分,满意,景色4,趣味4,性价比3,2025-02-04 发布点评,和后面几天的景点导游相比，熊猫基地的导游像在划水,IP属地:四川,,,大熊猫基地好评
阳光橙橙气泡水,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,如果不执着和花和叶，早一些从西门进去可以看很多熊猫，都很活泼,IP属地:四川,,,大熊猫基地好评
M35****2451,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,还可以不错,IP属地:湖北,,,大熊猫基地好评
M32****9359,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,带着孩子来成都玩，非常满意的一次旅行，成都很好，熊猫基本人不算太多，孩子也非常喜欢,IP属地:陕西,,,大熊猫基地好评
137****6616,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,很多大熊猫，可以带孩子玩半天,IP属地:安徽,,,大熊猫基地好评
M18****485,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,哈哈哈哈好,IP属地:山西,,,大熊猫基地好评
M19****396,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,环境优美，空气清新，适合老人小孩游玩。,IP属地:甘肃,,,大熊猫基地好评
KaneZou,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,导游燕子很专业，很有耐心。下次还叫她。,IP属地:四川,,,大熊猫基地好评
205****801,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,有老师带领讲解互动，孩子不仅玩得开心，也学到不少知识，比单纯逛看有意义,IP属地:湖北,,,大熊猫基地好评
137****0329,,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,好 非常好 值得一去 熊猫数量大幅,IP属地:四川,,,大熊猫基地好评
匿名用户,,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,熊猫管够啊，太可爱了,IP属地:黑龙江,,,大熊猫基地好评
匿名用户,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,地铁+接驳车，非常便捷，园区很大，空气质量超好，到底是国宝生活的地方。体力好的可以新老园区都走走逛逛，能看到多少只可爱熊猫看缘分啦,IP属地:四川,,,大熊猫基地好评
_seoba****5016274,,4分,满意,景色4,趣味3,性价比4,2025-02-04 发布点评,人多是在预料之???的，可是很多别墅区熊猫都没看到，看到个背影都能兴奋半天，感觉这一趟值了。什么产房都是空空的。有个熊猫影子的地方都人山人海。关键熊猫出来还钻到树丛里，隐隐约约的。,IP属地:四川,,,大熊猫基地好评
298****519,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,观察了成都大熊猫繁育研究基地，建设完全模拟大熊猫野外生活环境，建有湖泊、溪流、竹林、草坪等。基地很大，如果单走路，还是比较费体力的，加上挺多台阶，建议来熊猫基地玩坐观光车。基地内有很多萌萌的大熊猫，可以近距离的去观赏这些萌哒哒的国宝们。可可爱爱的大熊猫，一个个慵懒随意的在自己的别墅区里活动，比普通动物园里的要有活力和个性多了。可惜没看到可爱的花花。,IP属地:广东,,,大熊猫基地好评
Huan欢,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,宝宝们太可爱了，就是人多，不过地方大，没感觉挤。,IP属地:陕西,,,大熊猫基地好评
M31****3035,,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,讲解风趣，服务很好,IP属地:四川,,,大熊猫基地好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,离市区半小时车程，这个是单独vip入口，没什么人的。大熊猫太可爱啦，导游是个细心周到的小姑娘，每个熊猫她都认识！全程不用排队，特别推荐！,IP属地:上海,,,大熊猫基地好评
M32****5187,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-04 发布点评,成都大熊猫繁育研究基地，简称“熊猫基地”，位于成都市区北部，是一个集大熊猫保护、研究、教育和旅游为一体的综合性机构1。基地致力于大熊猫等珍稀濒危野生动物的保护和繁育研究，同时开展公众教育和教育旅游项目,IP属地:宁夏,,,大熊猫基地好评
M32****1702,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,值得去，孩子很喜欢，但是真的建议不要节假日去??排队一两个小时，看猫一分钟??人娇小一点可能还挤不进去，带婴幼儿的真的适合非节假日去，总体来说很开心,IP属地:江苏,,,大熊猫基地好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,摇头晃脑太可爱，适合带孩子去。,IP属地:四川,,,大熊猫基地好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,国宝呆萌可爱，花花萌，小朋友开心，也值得我们关注，成都好地方，物美价廉,IP属地:安徽,,,大熊猫基地好评
110****123,黄金贵宾,4分,满意,景色4,趣味4,性价比4,2025-02-03 发布点评,带小孩可以去一次，建议从西门进,IP属地:浙江,,,大熊猫基地好评
M05****14,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,观光车可以现场买票，最重要的是早点到早排队，如果是小程序预约就输好身份证信息，直接拿身份证入园，或者也可以现场买票，或是到了中途临时买也可以,IP属地:天津,,,大熊猫基地好评
匿名用户,铂金贵宾,4分,满意,景色4,趣味4,性价比3,2025-02-03 发布点评,假期人到熊猫基地的人太多，熊猫没看到几只，不过意外近距离看到了孔雀，看到了小熊猫很可爱，第一次看到小棕熊，毛茸茸的很可爱，体验最好的是里面的母婴卫生间，超级喜欢，可惜没拍照片,IP属地:北京,,,大熊猫基地好评
Davide25,,5分,超棒,,,,2025-02-03 发布点评,"完美的体验,根本没有排队。",IP属地:未知,,,大熊猫基地好评
匿名用户,钻石贵宾,5分,超棒,景色5,趣味5,性价比3,2025-02-03 发布点评,人太多，没看到网红花花，,IP属地:湖北,,,大熊猫基地好评
M32****5187,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,成都大熊猫繁育基地位处成都市北郊斧头山，距市区10公里，有一条宽阔的熊猫大道与市区相连，现已成为国内开展大熊猫等珍稀濒危野生动物移地保护的主要基地之一。,IP属地:宁夏,,,大熊猫基地好评
匿名用户,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,景点适合带孩子玩。,IP属地:四川,,,大熊猫基地好评
M31****5491,,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,非常感谢非常好,IP属地:上海,,,大熊猫基地好评
M52****9410,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,看到心心念念的胖东东了，还是建议早点去,IP属地:四川,,,大熊猫基地好评
_WeCh****32785,黄金贵宾,5分,超棒,景色5,趣味4,性价比3,2025-02-03 发布点评,人太多了，节假日不推荐。,IP属地:四川,,,大熊猫基地好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,国宝们真是太萌了，下次有机会再到成都要买上下午场，好好的再近距离感受一下宝子们的日常！,IP属地:四川,,,大熊猫基地好评
沈子淇万岁,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,蛮不错的 很赞 值得推荐,IP属地:四川,,,大熊猫基地好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,讲解和路线都挺好，比自己带孩子逛省劲和收获大，和旅行团拼团的，人数略多,IP属地:山东,,,大熊猫基地好评
138****6108,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,讲解小姐姐很棒??,IP属地:四川,,,大熊猫基地好评
M38****280,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,春节人太多,IP属地:安徽,,,大熊猫基地好评
M38****280,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,春节人太多，但是没办法，平时要上班，孩子平时要上学？,IP属地:安徽,,,大熊猫基地好评
M26****2621,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,交通方便，环境优美，看花花排队时间约需2小时，建议看其他熊猫，早晨看比较好,IP属地:四川,,,大熊猫基地好评
M44****6493,,4分,满意,景色4,趣味4,性价比4,2025-02-03 发布点评,还是得早上去，下午熊猫都在休息，只有两点多喂食才出来一会，不过还是看到了熊猫和美还有毛桃，都很可爱，可惜的是花花周一休息另外还看到了小熊猫,IP属地:四川,,,大熊猫基地好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,还是可以的,IP属地:四川,,,大熊猫基地好评
太美没有办法,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,国宝必须来看看呀！大小熊猫都好看，里面树木多，非常凉快，真的太大了，可以走一整天，太适合溜娃。,IP属地:江苏,,,大熊猫基地好评
320****327,,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,很大，熊猫很多，但是淡季去的话会好一点，因为过年去，人实在是太多了，看熊猫都排不上，要是去的话最好玩早上去，因为下午熊猫基本都是要睡觉了，看不到太多熊猫！,IP属地:辽宁,,,大熊猫基地好评
赫曼努斯李,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,熊猫很可爱！环境超棒像天然氧吧，工作人员超贴心讲解，圆滚滚们啃竹子打滚萌翻天～互动体验很好，五星好评必须安排上！,IP属地:四川,,,大熊猫基地好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,"人多是肯定的，建议来得早就走西门，来的晚走南门，错峰出行，最好是坐地铁过来，不然上的来下不去也是很头痛的。
看熊猫的建议不要追着网红跑，这些排队时间长，熊猫上班还晚；最好去新区看，熊猫很多，早早的就出来了。
基地很大，观光车要早买，不然八九点就没票了。观光车票是当天不限次数的，早买早方便，也不用和别人比跑步速度
基地里面文创和纪念品很多，就当是给熊猫的伙食费，千万不要买外面的。",IP属地:浙江,,,大熊猫基地好评
@漂流瓶…,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,很不错推荐,IP属地:重庆,,,大熊猫基地好评
M20****933,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,很值得一去,IP属地:四川,,,大熊猫基地好评
M29****075,铂金贵宾,5分,超棒,,,,2025-02-03 发布点评,一定要坐车，带孩子走起来太累了。熊猫比较娇贵，有的在睡，有的能看见的比较少,IP属地:四川,,,大熊猫基地好评
M47****3622,铂金贵宾,4分,满意,景色4,趣味4,性价比4,2025-02-03 发布点评,适逢中午，只看到一只熊猫,IP属地:四川,,,大熊猫基地好评
M32****0288,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,熊猫宝宝太可爱了，2个小时看到19只～,IP属地:四川,,,大熊猫基地好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,熊猫很可爱,IP属地:四川,,,大熊猫基地好评
sunweizhi,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,熊猫憨憨很可爱,IP属地:山西,,,大熊猫基地好评
_yt2****956,黑钻贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,服务热情周到，态度好，专业性强！，带我们转了大半天，内容丰富，很有收获！,IP属地:北京,,,大熊猫基地好评
118****115,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,入园方便，随买随用，无差别,IP属地:辽宁,,,大熊猫基地好评
悠然三寸暖,铂金贵宾,4分,满意,景色5,趣味4,性价比4,2025-02-03 发布点评,运气一般般，节假日人很多，没有看到熊猫,IP属地:云南,,,大熊猫基地好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,孩子的最爱。特意领孩子来看的,IP属地:四川,,,大熊猫基地好评
M25****2369,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,杜导对大熊猫的了解非常全面，能满足孩子所有好奇的问题，非常棒的体验！,IP属地:四川,,,大熊猫基地好评
匿名用户,,4分,满意,景色4,趣味5,性价比4,2025-02-03 发布点评,环境不错就是国宝太少了,IP属地:四川,,,大熊猫基地好评
_wf****25,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,值得去参观,IP属地:北京,,,大熊猫基地好评
M47****906,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,看到了很多大熊猫，非常高兴，西门的进入让我们节省时间，非常非常非常的不错,IP属地:四川,,,大熊猫基地好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-03 发布点评,不错的熊猫基地,IP属地:重庆,,,大熊猫基地好评
okaza,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,熊猫基地，孩子很喜欢,IP属地:重庆,,,大熊猫基地好评
M52****0840,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,熊猫基地熊猫的数量多，地方也大，建议从西门进入游玩从上到下，可以减少不少的体力！,IP属地:重庆,,,大熊猫基地好评
小贾斯叮,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,人实在是太多了，熊猫没看见,IP属地:四川,,,大熊猫基地好评
星絮,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,临近地铁，出行方便，房间大，价格性比价很高，旁边有非常好吃的蜀大侠火锅。,IP属地:四川,,,大熊猫基地好评
M60****157,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,熊猫好可爱呀，唯一遗憾没有看到咱花局,IP属地:江苏,,,大熊猫基地好评
ferrari_xiaodong,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,人太多，没见到花花……,IP属地:四川,,,大熊猫基地好评
300****788,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,还是比去熊猫谷有意义，是繁育基地让大熊猫从濒危动物变成易危，功不可没，从西门进看个数十只熊猫不成问题。,IP属地:北京,,,大熊猫基地好评
M47****4219,铂金贵宾,4分,满意,景色4,趣味3,性价比3,2025-02-02 发布点评,熊猫基地很好，就是有点费体力，孩子一直闹累的慌，可能赶上旅游旺季的事，熊猫没有看到几只让人有点小失望，人超多，感觉光看人了，花花也没有去看，身心疲惫，完全没有心情了,IP属地:四川,,,大熊猫基地好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,不错好看空气好，人多，热闹,IP属地:湖南,,,大熊猫基地好评
M56****071,铂金贵宾,4分,满意,景色4,趣味4,性价比3,2025-02-02 发布点评,感觉不适合节假日来，人实在是太多了，根本看不到熊猫,IP属地:四川,,,大熊猫基地好评
匿名用户,黄金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,熊猫很多，也可爱，接駁车很方便，而且标识明显很容易找到，工作人员很认真、热情、耐心，引导游客正确观赏熊猫，里面的巧克力冰淇淋好吃，值得一游,IP属地:四川,,,大熊猫基地好评
匿名用户,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,建议去新园,IP属地:江西,,,大熊猫基地好评
amirsyaif,,5分,超棒,,,,2025-02-02 发布点评,"易于使用,快速进入",IP属地:未知,,,大熊猫基地好评
M28****4866,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,熊猫太可爱了,IP属地:四川,,,大熊猫基地好评
M64****20,钻石贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,讲解很到位，快速入园，避免了长时间排队,IP属地:陕西,,,大熊猫基地好评
AnnaToo,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,值得去打卡一天,IP属地:云南,,,大熊猫基地好评
M22****912,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,值得一去的地方。,IP属地:天津,,,大熊猫基地好评
WMHYLLZR,铂金贵宾,5分,超棒,景色5,趣味5,性价比5,2025-02-02 发布点评,大熊猫很可爱，导游很热情！,IP属地:四川,,,大熊猫基地好评
M35****569,铂金贵宾,4分,满意,景色4,趣味4,性价比4,2025-02-02 发布点评,熊猫基地很好，就是携程上套票里面送发箍，结果就是一个幌子，就送一个这个塑料片，无语,IP属地:四川,,,大熊猫基地好评
M48****1394,黄金贵宾,4分,满意,景色5,趣味4,性价比4,2025-02-02 发布点评,很不错，就是走的有点多,IP属地:四川,,,大熊猫基地好评
