"user_detail_name","text","text 2","text 3","text 4","text 5","content_wrap"
"王叁晓","5分","超棒","景色5","","","进到展区之后就是，卧槽，卧槽，卧槽。首先是感叹我国文明之悠久，技术之精湛。新石器的彩陶器形如此之饱满并且颜色保存之完好。图二黑陶壁之薄，底下镂空，不可想象当时是如何制作。图三玉璧之大，以及陶俑，清朝的器物。最心心念的还是17层的象牙球雕，叹为观止！！！台北的好器物确实多，祖国的历史确实精彩。而其实我国一直都是技艺高超而没有科学技术，师父领进门 修行在个人，但这也造就了那么多工匠。(没想到的是图五郎士宁绘画艺术这么高)精彩，精彩！"
"DLBJ2018","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院是台北之行必去的景点之一，这里珍藏了许多珍贵的展品，分展区参观，玉石展区，陶瓷展区，字画展区等。还有一些特别专展也值得一看。售票处可以租用讲解器，租用时需要押身份证件。里面有故宫博物院的文创商品商店，地下一层还有一个大的综合纪念品商店。翡翠白菜正在台中展示，现在无法观赏，肉形石在。"
"david_xiayu","5分","超棒","景色5","趣味4","性价比4","故宫博物院是一座宫殿式建筑，典藏了历代文物艺术精粹，大致分为青铜器、玉器、瓷器、书画、工艺品等文物，几乎涵盖了五千年的中国历史。可惜时间有限，加上又不是文物方家，未能细细欣赏这些稀世珍宝。
以前到过北京故宫，再看台北故宫，感受到两个故宫是一种文化，一脉相承。"
"爱喝柠檬茶","4分","满意","景色4","趣味4","性价比4","这个是台湾必去的景点之一，为了对中国历史了解而非去不可，门票最好是提前订好，可以节省时间，现场有很多讲解服务，有电子的也有人工的，沟通也很方便，博物馆还分设多个展览区域，不乏有很多名贵的产品，那个翠玉白菜，没见过大概也听过了，肉行石和毛公鼎，这是世间少有的藏品了，除了产品还有很多文献书籍等等，大开眼界，有兴趣的，当真可以耗上一整天时间，那里还有卖些小饰品和工艺品的，可以挑选些带回去收藏和送朋友。"
"胡鲁马累岛王仙芝","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院位于台北土林区，它的外观为中国传统宫殿建筑。博物院集中华文物之大成，收藏各类文物珍宝65万件，素有“北京故宫看建筑，台湾故宫看文物之称”的说法。"
"心情好好的毛怪","5分","超棒","景色5","趣味5","性价比5","台北故宫文物太多了，如果每个都听讲解的话，估计一天都不够，而且讲解的很有深度，加入美术绘画，物理知识！在地下一楼，有个儿童乐园，讲解的比较简单，小朋友很喜欢，有小小剧场可以看，有闯关游戏可以玩，闯关成功，小礼品赠送！看到了赵孟頫的鹊华秋色，确实乾隆盖了很多印章！当年抗战，这么多文物保存下来，着实不易！从北京辗转至重庆，再南运至台湾，不管它们在哪里，能让后世子孙亲眼看到，都是文物保护者的无私奉献的结果"
"白加黑2006","5分","超棒","景色5","趣味5","性价比5","到台湾来，这里是必来的。现场买票350台币，携程网买70多人民币，便宜了十元人民币。可以到达售票处在买，门票秒出。刷二维码进去。还有免费的讲解，需要网上约。东西太多了。我跟着讲解走马观花，用了二个多小时。简单看了一下。"
"君子如暖玉","5分","超棒","景色5","趣味5","性价比5","到了台北一定要抽出一天时间，去看看台北故宫博物院的文物藏品，真的真的大开眼戒，东西真的比北京故宫展出的好太多（我们北京的文物宝贝，大概都放在库房里做研究呢）。都是标准件，逛了4个小时还意犹未尽，就是入内不得带水和吃的，我怕麻烦，把沒拆封的小吃给工作人员了，也可以寄放，10台币一个箱子。逛好去附近的富春居吃东西，补充体力。"
"Tom Hung","5分","超棒","景色5","趣味5","性价比5","典藏文物以清故宮的藏品為基礎，結合海外收購及團體捐贈文物，總數達70萬件的世界級博物館，位於台北外雙溪地區，外觀採用仿中國宮殿式造型，四週自然景觀維護良好，吸引來自海內外的遊客至此參觀精美的中國文物。"
"teddyteddy","5分","超棒","景色5","趣味5","性价比5","交通还比较便利，搭捷运到士林，再做一段公交
一天逛不完的，要做好准备。租了个讲解器，很不错，所有宝贝都会详细解释，可选语言。
很多镇馆宝贝，毛公鼎这些都是必选。
可以敲章，免费的。
在携程上订的门票，方便， 有时间会再去。"
"西西是我","5分","超棒","景色5","趣味5","性价比5","非常赞的博物馆 馆藏珍品一级棒 博物院位于士林官邸附近两公里处 仔细参观需要四个小时左右 门票350台币 建议不赶时间的话租个导览器 这次参观时主要展出了青铜器 玉器 字画 瓷器 和之前百年展的时候基本不一样 但是都大开眼界眼界 也感慨一下这里的文物保护得非常好"
"大淘淘姐","5分","超棒","景色5","趣味5","性价比5","曾经去过一次，时间太少没看完。
所以这次特意安排一整天，从开门进去，先逛三楼，一层一层一间一间，看了个遍。走到脚疼腰酸，太多精美宝贝，看不够。中午在旁边的晶华吃碗牛肉面和小点心，下午继续看。只是没有专业人士的讲解有点遗憾，虽然有讲解器，但太不够了！还有就是白菜又出展，又没看到实物，是否预势还要再去一回台北故宫？？
北京看建筑，台北看宝贝，期盼合二为一！"
"云淡风轻","5分","超棒","景色5","趣味5","性价比5","北京故宫有房无宝、台北故宫有宝无房。运气不错，几样镇馆之宝都鉴赏了：翡翠白菜、肉形石、毛公鼎……精彩纷呈的典藏陶瓷器，台北故宫博物院拥有傲视全世界的宋代名窑、成化斗彩、盛清的瓷胎画珐琅、以及明清各朝的官窑瓷器，件件陶瓷器清楚的典藏号可以追溯出它们原来陈设之所在；玲珑璀璨玉之华，台北故宫博物院的馆藏玉器充分体现了水润的光泽、簿过透纹的细致、花团锦簇却不流于俗气的美感；国宝再现，有幸观赏10月4日才开展的書畫菁華特展，二十六件年代久远的国宝级文物，包括东晋王羲之（平安何如奉橘三帖）、赵孟頫（鹊華秋色）、夏珪（溪山清远）、宋高宗赵构（赐岳飞手敕）、陈居中（文姬归汉图）……件件堪称美术史上流传有绪，蔚为时代典范的一时之选。从王羲之到苏轼、米芾，再到宋高宗、鲜于枢，可看二王帖学的传承脉络；从萧照到夏珪、武元直，再到赵孟頫，始知山水画的变法途径；从花鸟微言到历史故事，再到帝后坐像，方解粉饰与教化之言。因“国宝再现”不能拍照，特购国宝再现書畫一册，此部分照片均来自于画册。"
"吃货战象","5分","超棒","景色5","趣味5","性价比5","台北故宫是台湾最大的博物馆，虽然博物院的建筑是1965年才落成，不像北京故宫那么有历史，但是里面的展品却很丰富，驻足在展品前，感受历史和艺术的魅力。
        游览建议:台北故宫镇宫之三宝:翡翠白菜、毛公鼎和肉形石不要错过，博物馆里面空调开的挺冷，记得要多穿件外套。"
"06****523","5分","超棒","景色5","趣味5","性价比5","非常值得………藏品精美，无与伦比，需要花一整天时间仔细观看。切身体会到了北京故宫是遗址的说法………能看到很多子画的真迹……建议请导游解说、可以了解重点文物，然后再租解说导览器自己慢慢观看，上午人多，中午以后以后人少安静，便于观看，拍照………里面冷气很足，最好穿长裤，长袖"
"小阿卜","4分","满意","景色3","趣味3","性价比4","藏品很多，很精致，很惊艳，学到很多，可以提前在官网上预约解说，现场的话一般申请不到，名额有限，可以租一个解说的设备，慢慢逛，慢慢看，有的展柜不可以拍照，有标识。翡玉白菜和肉形石在一起，需要排队进入，人很多。"
"～如月＊芬芳～","5分","超棒","景色5","趣味5","性价比5","台北故宮博物院，風景好美哦！這些只是在外面拍攝的周邊景色，是不是景色宜人，感覺很清爽，故宮博物院是台灣人氣旺的一個景點，每天都有很多慕名而來的遊客，值得一看。"
"_ceai****6036","5分","超棒","景色4","趣味5","性价比5","地方不大，但好东西很多，当初走的时候应该是把能带的都带走了，听说一个博物馆放不下，只能一批批轮流拿出来展览，其他都存放在后面的山洞里。仔细看的话应该要一天了。"
"心情好好的毛怪","5分","超棒","景色5","趣味5","性价比5","文物很多，一共是有3层，国宝级文物在3楼，翠绿白菜，红烧肉，毛公鼎！地下一楼还有个儿童亲子乐园，对于文化介绍简单易懂！还有闯关游戏！小朋友的最爱！还有影片可以看，带着影片去看展，更加容易记忆深刻！"
"135****9012","5分","超棒","景色5","趣味5","性价比3","外观上看就是一家博物馆，但是里面的藏品很丰富，据说每个人一段时间还会换展品。展陈布置也非常合理，从古到今，逻辑感很强。但是由于是圆形展厅，所以有时候会绕晕。"
"张小丸-zy123","5分","超棒","景色5","趣味5","性价比5","好多瑰宝，19年5月份过去的。整个博物院主建筑是一栋不高的建筑，内部设计比较现代化吧。但一点也不影响它的珍贵，各种技艺精湛的手工品数不胜数。工艺绝美，用料上乘。有幸一睹翠玉白菜真容，非常好看啊！"
"M37****5265","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院算是重头戏了，楼主打算这一天剩下的时间全部留给这里。之前在官网上预约的现场解说导游是下午5点左右开始，提前到了之后我先自己逛了逛，熟悉了一下环境。非常震撼，来台北必游之景点。"
"Drama Queen MIU","5分","超棒","景色5","趣味5","性价比5","主要就是去看和火锅的啊……
白玉白菜比我想象的小好多！也对！原材料多金贵啊……
确实惟妙惟肖呢……
有些馆藏文物确实值得一看哦……
每个馆的视频是亮点！增色不少！也让人学了不少"
"美滋滋小鱼粥","5分","超棒","景色5","趣味4","性价比4","票价和语音导览器加起来500台币。爸妈逛的兴趣比较浓厚，一直在听。中途还蹭了两个导游听听。特别提醒一点，里面真的很冷，就算夏天也要多穿一件衣服去。出来后可直接坐公车去士林官邸，两三个站。"
"首席监理","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院是一个藏品非常非常丰富的博物馆，抗日战争时期为了保护故宫里的文物，对文物进行了搬迁，后来有很大一部分文物到了这里。非常丰富的文物。"
"ninitt88","5分","超棒","景色5","趣味5","性价比5","如果只去过故宫，那有机会一定要去台北故宫博物院。里面的宝物一定会让你流连忘返，我们从早上十点进去，一直逛到下午三点。因为暑假期间台湾停止办理个人赴台旅游，所以人特别的少，逛的很尽兴。"
"正月初六","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院（Taipei Palace Museum），是中国大型综合性博物馆、中国三大博物馆之一，也是研究古代中国艺术史和汉学重镇，为台湾地区规模最大的博物馆。"
"妮妮吖头","5分","超棒","景色4","趣味5","性价比5","其他稀世珍品走一波 团友居然是个博物馆爱好者 一路洗脑 一个角落里最不打眼的小瓷碗就拍出了多少多少天价 馆里可全是当年老蒋运过来的最值钱的宝贝吧啦吧啦吧啦 给我麻木不仁的博物馆之旅平添几分乐趣"
"爱旅游的云云","4分","满意","景色4","趣味3","性价比3","台北的故宫博物院，比较注重的是里面的收藏品而不是建筑，外面的建筑颜色比较靓丽，很远处就能看见这标志性的博物院。游客很多，建议大家错峰游览，交通很便利，适合自由行的游客来参观，至于里面的镇馆之宝就看大家有没有运气可以看到了，因为这几个宝贝是轮流在世界做展览的。"
"whoisangel","5分","超棒","景色5","趣味5","性价比5","跑到台北这个景点还真的是特别值得去看看的。并且里面的产品真的是特别多一次，还看不完，请大家能够分几次去那里观赏。最好大家一定要仔细看看相关每个文物的说明介绍。这样才能更好，了解我们中国相关的一个来源历史情况。"
"michelle0519","4分","满意","景色4","趣味4","性价比4","台北故宫博物院在台北市外围，地铁到不了，还好住的酒店边上有公交车直达，就是等的时间有点久。背包不让带进去，边上储物柜可以免费存放。
出发前提前买了门票，直接扫发来的门票码进去，不能换纸质票，有点失望。没有租讲解器，跟着旅游团蹭听导游讲解，主要看了台北故宫三宝，翠玉白菜，东坡肉，毛公鼎。
台北故宫不大，只有三层，像我这样的门外汉逛逛看看听听，两三个小时足矣。"
"暖阳朗月","5分","超棒","景色5","趣味5","性价比5","台北故宫是此次台湾行最想去的地方，一整天泡在里面，陶瓷馆，铜器馆，字画馆，珍宝馆国宝荟萃，件件精美！中午时分，团队退去，正好可以细细观赏镇馆之宝翠玉白菜和肉形石，遗憾的是每次都有展馆在调整展品，留下召唤你再来的理由"
"M35****5583","5分","超棒","","","","去台湾肯定要去故宫博物院的。展品的保存状态非常好,除了常设的展厅,还会有一些特殊的展览。 小卖部里有很多和展品相关的东西,买回去送人还挺不错的。 如果走累了还能去查房喝喝茶。大家有时间一定要去一次。推荐"
"Elaine","5分","超棒","景色5","趣味5","性价比5","特意想去看白菜和红烧肉，结果扑了个空，唉！坐公交车到博物院挺方便的，350新台币的门票也合理，只是本人对古物没有什么研究，只是走马观花。中午过去避过旅行团，人不多，逛得挺舒服的。"
"_WeCh****60501","5分","超棒","景色5","趣味5","性价比5","故宫博物院，宝贝很多。比较著名的事白玉白菜，肉石还有那个鼎。慢慢逛，可以玩几个小时，中途还可以出来，会盖个章。隐形章，特有意思。捷运士林站出来，边上就有公交去博物院。超级方便。"
"dlu808","5分","超棒","景色5","趣味5","性价比5","铜鎏金佛，和田玉雕，田黄印。给我印象最深的是那尊接近两人好的鎏金大佛。宝相庄严，面带微笑。这样的体积还能做到这么精致的非常少见，神态刻画的淋漓尽致，是世间罕见的精品。"
"M33****3611","5分","超棒","景色5","趣味5","性价比5","集中了中华民族的无数历史珍宝，是祖先智慧和财富的遗赠。需要我们珍惜和传承下去，希望我们和后辈都能够从中认识到民族的光辉历史和璀璨文华，并为自已是中华民族的一员而骄傲！"
"卡洛Carlo","5分","超棒","景色5","趣味5","性价比5","非常非常好，许多国家瑰宝在此保存，展出。相比北京故宫博物馆，你可以非常近距离地观赏国之重器，如毛公鼎，翡翠白菜，玉屏风，等等。"
"心情好好的毛怪","5分","超棒","景色5","趣味5","性价比5","很好的地方，把宝藏和鉴赏还有知识结合起来！图文并茂的介绍各种古文！如果是带小朋友，特别推荐地下一楼，有个小小游乐场，有电影可以看！电影介绍了乾隆年间最有名的郎大师！"
"M51****565","5分","超棒","景色5","趣味5","性价比5","从小时候到现在成年， 还是常常去故宫博物馆。 心里一直觉得是个很好的场所， 不管是休闲，或是学习，抑或是和家人朋友一同出游， 都是非常棒的选择!!!!"
"陈渝","5分","超棒","景色5","趣味5","性价比5","对应着北京故宫博物院，里面的宝贝真的超级多，镇馆之宝：翡翠白菜、肉型石、毛公鼎，参观的人很多，但大多很安静，空调开得很冷，即使人山人海也不闷热"
"Bryxwong","5分","超棒","","","","台北故宫博物馆是中国艺术和文化的宝库,是历史爱好者和休闲旅客的绝对必去之地。博物馆的每个角落都讲述了中国丰富的遗产,拥有超过70万件文物,其中重点包括错综复杂的玉石白菜和迷人的肉形石。

在我的访问中,我被历史和现代的无缝融合所震惊,展品以一种既具有教育和吸引力的方式展示。博物馆组织良好,有音频指南和多语言标志,使所有人都可以访问体验。

建议:在工作日计划您的访问,以避免大批人群,不要错过博物馆美丽的景观花园,在您的文化探索后,您可以安静地逃离!"
"木偶奇遇ce","4分","满意","景色4","趣味4","性价比4","交通挺方便，很多公交都会到那里，博物馆的面积很大，可以花上几个小时，慢慢欣赏，感觉都是意犹未尽的感觉，里面的藏品很丰富，都是价值连城的宝物，博物馆还需要购买门票，这个真的不友善，有玉器，翠玉白菜也在其中，红烧肉还真的是很像，可是镇馆之宝，还有青铜，饰品，字画等等，还有导游统一讲解，氛围很安静，还有就是不允许带包和水，还是先存放好再去看吧。"
"M49****352","5分","超棒","景色5","趣味5","性价比5","不错，挺值得去，很多东西可以看。听朋友说之前去，三大镇馆之宝出差了，好在我去的时候三个都在，幸运～门票小贵，值得。就是空调有的冷，哈哈。电视剧出现的皇帝用的碗～"
"梓峰仔","4分","满意","景色4","趣味5","性价比5","台北故宫博物院（Taipei Palace Museum），又称台北故宫、中山博物院。是中国大型综合性博物馆、中国三大博物馆之一，也是研究古代中国艺术史和汉学重镇，为台湾省规模最大的博物馆。台北故宫博物院座落于台湾省台北市士林区至善路二段221号，建造于1962年，1965年夏落成。占地总面积约16公顷。为仿造中国传统宫殿式建筑，主体建筑共4层，白墙绿瓦，正院呈梅花形。院前广场耸立五间六柱冲天式牌坊，整座建筑庄重典雅，富有中华民族特色。"
"Raul888","5分","超棒","景色5","趣味5","性价比5","台北故宫博物院位于台北市士林区，是一座仿北京故宫式样设计建造的建筑物。依山傍水，气势宏伟，碧瓦黄墙，充满了中国传统的宫殿色彩。院内共收藏、展出1000多年来宋至清历朝皇帝推祟艺术、广事收集的稀世珍品70万件，包括著名的翠玉白菜，红烧肉等，非常值得一去。一开始不知道不能拍照，经提醒后面的就不拍了。"
