user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,video-js src
匿名用户,2分,一般,景色5,趣味1,性价比1,这款产品服务非常不好，可以说30元入了个坑，首先设计很不科学，耳机很奇葩，小点的耳朵戴不上，无法调节，我跟孩子都无法使用，最后就选择扩音模式，扩音也很鸡肋，几乎听不到声音，归还还特别麻烦，付押金的店里关门，就需要找另外一个归还点，不建议下订单。,IP属地:北京,
燕子,1分,不佳,景色1,趣味1,性价比1,坐不上缆车,IP属地:北京,
M36****1437,2分,一般,景色3,趣味3,性价比2,坐的直通车去，下车就是很浓的烟味，入口也是到处抽烟的人，带着孩子们去看美丽宏伟的长城之前就要经过很多二手烟，浓重的烟味让人身心很不愉悦，恶心，头痛的症状都出现了。因为天气较好，爬长城的人竟不少，也感谢这样的好天气我们可以领略祖国伟大的景观。,IP属地:北京,
匿名用户,1分,不佳,景色1,趣味1,性价比1,"整体都很差，全部都耷拉着脸，从入口，出口，寄存，包括八达岭火车站工作人员。
当时遇到一个安保人员，问很客气的他卫生间在哪里，他指了一下小卖部，说:哪里。我当时都是懵圈的，难道去小卖部上厕所吗？后来再问他，他才说是小卖部后面。真的是傲慢。
在八达岭火车站本来想寄存行李的，问门口一个女工作人员，她是坐着斜视我回答的，没有。我又问你知道哪里有吗？她说不知道。后来没办法，我就找到火车站边上的小店找他们帮忙，说我可以付费寄存，因为两个箱子个带个老人，我实在没有办法上长城，小店的人跟我说缆车那里有，让我进去问一下。后来才找到的，那个时候我的衣服全部汗湿了",IP属地:浙江,
M60****8414,1分,不佳,景色1,趣味1,性价比1,希望多大失望越大。坑人的索道。,IP属地:新疆,
匿名用户,2分,一般,景色3,趣味1,性价比2,纜車乘車時間短，價格貴沒有性价比,IP属地:中国香港,
k****l,1分,不佳,景色3,趣味1,性价比1,太贵了，门票还行，缆车实在太贵了。缆车站回停车场接驳车等老半天，完全不顾超多人在排队，也不派空车来。,IP属地:北京,
180****0105,1分,不佳,景色1,趣味1,性价比1,"真的差劲
没有服务没有景色毫无旅游的幸福感",IP属地:北京,
_WeCh****717854,1分,不佳,景色3,趣味1,性价比1,去的天气不好，能见度差，人多风大，毫无趣味性。缆车返程连续停止！空中挂了好一会儿！吓人啊 ！！！！！！！！！！！！！！！！！！！！,IP属地:江苏,
_WeCh****785897,1分,不佳,景色5,趣味5,性价比1,小朋友不满120不需要缆车费，我们买了刷了之后告诉我们免费不需要买票，窗口说如果窗口买可以全退，现在携程打电话过来说平台只能退40，不管怎么沟通只能40元最多了 ，垃圾携程,IP属地:江苏,
vivi,1分,不佳,景色1,趣味1,性价比1,人挤人，体验感太差,IP属地:北京,
M52****2599,1分,不佳,景色1,趣味1,性价比1,部分使用，想部分取消，说网登不上去,IP属地:湖南,
M36****6565,2分,一般,景色3,趣味3,性价比1,空中索道排队时间太长，没有服务人员，排到中途连上了厕所都出不来，体验感实在太差劲了！,IP属地:安徽,
匿名用户,2分,一般,景色2,趣味2,性价比1,导游太吵，推销啥演出，让退携程订单找她买。这个车虽然是来回，但是只给3个多小时游玩时间，就暑假这人流量等缆车都得2个小时，只能去南线看下小土堆。,IP属地:湖北,
300****419,2分,一般,景色4,趣味3,性价比1,人山人海，看人头，现场秩序混乱,IP属地:北京,
M47****2281,2分,一般,景色2,趣味2,性价比2,再也不想去了,IP属地:湖北,
M31****4499,1分,不佳,景色1,趣味1,性价比1,差评，很不满意,IP属地:北京,
西域美农,1分,不佳,景色1,趣味1,性价比1,最差的一次一次预定，明明是当天晚上22点之前可以退订，结果，没去成的，退不掉。,IP属地:北京,
M74****8223,1分,不佳,景色2,趣味1,性价比1,晚上的票一點都不值，白天下午下長城後很多人也能看的路邊的燈光和雜技，還花300買晚上票，這不就是坑嗎？這也就算了，而且表演做的很差，，晚上做的很差，完全不是什麼秀，就是站在那裏看，感覺跟遊街沒什麼區別，還花300，簡直太坑了，還為了看買了羽絨服，簡直了有冷又無趣,IP属地:北京,
132****1517,1分,不佳,景色1,趣味1,性价比1,排队3小时体验2分钟，还不如爬上去，排队排的累死,IP属地:江苏,
M51****518,2分,一般,景色1,趣味1,性价比1,给家长买的去长城的门票和来回往返的大巴车票，去的途中在车上让花259元买一个什么演出和缆车，不买就让下车，变相强制消费。简直太坑了。。。,IP属地:北京,
Cruz灬,1分,不佳,景色1,趣味1,性价比1,贵，排队时间长，近两个小时，缆车这段景色一般，其实距离很短，两分钟，真没必要坐缆车，除非腿脚非常不利索或年级很大！,IP属地:贵州,
_WeCh****960295,1分,不佳,景色1,趣味1,性价比1,在携程上订好了八达岭长城的门票，但是有事情没去上，晚上突然想起来没去，想着退了吧，这个也要40元，没想到退不了，这个也太坑了吧，我要卸载携程，再也不用这个平台了,IP属地:北京,
mei_huang,1分,不佳,景色2,趣味1,性价比1,"北京八达岭长城，真的是太壮观了，有机会一定要到长城走一走，感受霞祖国的大好河山
简单爬一下#万里长城·八达岭#   人太多了 根本上不去",IP属地:广东,
匿名用户,2分,一般,景色2,趣味4,性价比1,为了卖缆车票，高铁出站就是缆车售票处，而且有人员用喇叭叫喊、劝买票。四处张望，没有一处有步行登长城的指示标志，也没看到有可以询问的工作人员。只好跟着人流往上走，那里有高大的门廊，还有售票处的标志，心想肯定是登长城入口了。走了半天才到，只看到有出口，没有入口，赶紧问一名清洁师傅，才知道步行入口在最下面，停车场走完有标志。于是反过来往下走，穿过大量的大巴车，终于走完了停车场，眼前一条马路，没有任何标志。马路下面有排队拦杆，栏杆前面墙上写着步行登长城入口：终于找到了！心中窃喜，穿过栏杆，按标志左转向前走，却被一栋楼挡住去路。楼前一牌子指示登长城入口往外面公路走！人都气晕了，要么什么标志都没有，唯一的标志却是让你走绕路！恼也没用，回到外面公路，又往上走几百米，才是步行入口！这就是八达岭长城！你们的管理只为钱吧，你们只为人民币服务吗？你们就是这样折腾不坐缆车的顾客吗？,IP属地:北京,
匿名用户,1分,不佳,景色1,趣味1,性价比1,讲解器根本不能用，骗子,IP属地:北京,
139****1148,1分,不佳,景色1,趣味1,性价比1,其他景点允许没有消费给退款。这个景点不给退款。差评,IP属地:山东,
M43****370,2分,一般,景色2,趣味1,性价比2,导游上车讲了有1个小时，真的很佩服她，而且到了后一直在催让大家不要在山下服务区上厕所，整个行程只给了4个小时左右，去山上再上厕所（说很方便，厕所很多，结果山上每个厕所口都排了很长的队），坐揽车队排了2小时，行程不是在体验而是在赶时间。建议坐公交车或者高铁、出租车去，给自己留下充足的时间浏览和长城的美景。,IP属地:陕西,
M45****831,1分,不佳,景色1,趣味1,性价比1,"千万不要买双城票🎟️因为排队根本下去缆车🚡就关了
老人家72岁刚上去就下不来",IP属地:北京,
M33****5763,1分,不佳,景色1,趣味1,性价比1,自助餐就是个巨坑，一百块吃西红柿炒蛋，什么自助餐，连公司食堂都不如，还得自己收拾盘子。周围啥都有，肯德基 德克士 庆丰包子铺 炸酱面，随便一家都比这强百倍！,IP属地:北京,
M40****207,2分,一般,景色4,趣味2,性价比1,和十多年前一样，一如既往的… 管理服务能力低下,IP属地:上海,
_WeCh****349527,1分,不佳,景色1,趣味1,性价比1,千万别上当 骗人的,IP属地:山东,
匿名用户,1分,不佳,景色2,趣味1,性价比1,去时天气不好。路滑。什么也看不到。缆车上下。七楼走到八楼。全是人。大喇叭一直喊不要停留，这里下去。全程不到一个小时候。来去路上五六个小时。感觉就是来坐个缆车。,IP属地:北京,
微博空空,1分,不佳,景色1,趣味1,性价比1,体验非常差，景区交通、服务、接待游客程序都有非常大的问题，还有带路揽客的兔子。,IP属地:北京,
匿名用户,1分,不佳,景色5,趣味4,性价比1,没有取到讲解器，不给退款，投诉无门,IP属地:北京,
286****876,1分,不佳,景色1,趣味1,性价比1,去爬八达岭长城被导游坑了，导游也不说清楚南长城比较短不是经典的好汉坡，导游误导我们坐地面缆车，说这里排队人少，其实是不是有名的八达岭长城，要坐北坡的缆车🚡才是好汉坡，不报名看那个什么**演出导游态度极差，差评，以后携程跟团的要三思而后定了，后面的朋友不要被坑了！,IP属地:浙江,
泰山之躯,1分,不佳,景色1,趣味1,性价比1,"八达岭长城不要坐缆车，一直排队，到了长城上面又全是人。
建议步行或者去南长城。",IP属地:海南,
匿名用户,2分,一般,景色3,趣味3,性价比2,********通过携程预订了该产品。早上两点起床，两点20通过高德打车是老板定的，前往天安门老舍茶馆集合，三点瑜导开始清点人数，三点半集合起来到天安门，遇到下雨天，走着走着都掉队了，管理比较混乱，天安门后，自行解散，一路无导游，然后自己去排队，结果根本挤不到前面去，在天安门广场等了两个多小时，五点半升旗仪式开始，啥都没看到，只能听到音乐。,IP属地:陕西,
匿名用户,2分,一般,景色2,趣味2,性价比2,人太多。必须坐免费接驳车才能往返景区。回程接驳车上车点插队现象严重 一些游客素质太差 现场没有工作人员指挥 简直一团糟 严重影响游览心情。,IP属地:辽宁,
mei_huang,1分,不佳,景色5,趣味1,性价比1,混乱 人太多,IP属地:云南,
185****5015,2分,一般,景色2,趣味1,性价比1,差评，只乘坐单程索道，平台不给退部分款项,IP属地:北京,
M12****759,1分,不佳,景色1,趣味1,性价比1,不值得信赖的乘车体验，实际才60每人携程收80每人！被坑的在这里！！！车上导游会明确的误导大家选择索道，表演之类的！请一定谨慎！！！,IP属地:山西,
匿名用户,1分,不佳,景色5,趣味1,性价比1,买买回直通车的票到长城，小孩子同价，还有导游，以为还有导游带着玩，原来北京的导游也是卖票的，做导游20多年了，在车上推销梦华长城，门票198，帮她买可以138，缆车来回140，我们都没有买，车上其他人都买了，结果把我们直接拉到缆车入口，离行人上车入口还有1公里，走过去都把我们累了，让我们体验很不好,IP属地:湖南,
匿名用户,2分,一般,景色2,趣味1,性价比1,排队候车区杂乱，垃圾遍地,IP属地:北京,
匿名用户,1分,不佳,景色1,趣味1,性价比1,排队3小时，人挤人绕行不知道几千米，几乎没有工作人员维持秩序，地上垃圾遍地。,IP属地:四川,
Yanyunjie,1分,不佳,景色1,趣味1,性价比1,只有**一才会来的地方，排队三小时，老人本来就不能走路我才定的缆车，想去长城就去水关长城,IP属地:北京,
爱看海鲜花的兔子,1分,不佳,景色1,趣味1,性价比1,"景是古人留下来的，1星是给古人的。
排队5个小时，登山道不是让给权贵，就是让给***，没想到***奴性还这么重。
管理服务更差，公共厕所脏乱差，让人作呕，亲眼看见小卖部的人，在这种厕所洗手台洗汉堡青菜，掉在地上捡起来直接卖。
就是一帮**拿着古人的东西使劲糟蹋。
体验巨差。",IP属地:广东,
189****5155,1分,不佳,景色1,趣味1,性价比1,总之我过过过世界各地，这地方我恶心到极点！本来可以牛*，但是它确如**！？？,IP属地:北京,
godllc,1分,不佳,景色5,趣味2,性价比4,体验特别差。索道排队三个小时，没有提示。,IP属地:北京,
匿名用户,1分,不佳,景色1,趣味1,性价比1,人太多 体验不好,IP属地:北京,
110****668,2分,一般,景色4,趣味3,性价比3,人太多，不推荐带娃去,IP属地:北京,
M77****18,1分,不佳,景色1,趣味1,性价比1,千万别去，上午九点半座接驳车，排队半小时上车，到了八达岭，排队3小时走路大约3公里，座到缆车，缆车3分钟到对面，没登上长城，立马回去，座滑车下去的，又买票花了80，排队1小时，滑下去10分钟，走下山路至接驳车位置需要半小时，接驳车等待排队大概一个多小时，才能回去。体验就是不停排队排队，没有任何其他好的体验。,IP属地:北京,
M25****004,1分,不佳,景色1,趣味1,性价比1,再也 不会来了。管理太**,IP属地:北京,
M59****06,1分,不佳,景色1,趣味1,性价比1,不到长城非好汉这个句话真是骗人的，不好玩，坐车5小时，排队2小时，看城5分钟。,IP属地:陕西,
匿名用户,2分,一般,景色4,趣味1,性价比2,缆车没必要买，一般人群没有问题。实在受不了再现场买。,IP属地:北京,
匿名用户,1分,不佳,景色4,趣味3,性价比3,1:路向指标不太清晰，例如遇经过城门处有既有登山检票分叉口，虽设有指向牌，但未做全部指向，例如缆车指向（看图一处）；2:S2城际铁路回北京市区班车停车太早。很多六点后到达问车已经没有可回路线，路标上最好也有截止班车时间，免得空跑（图2）。3:坐缆车的话，虽然下午票12:30开始，但我到了排队3小时才做上缆车，缆车车程3分钟，所以一定要提前两个小时到达入口排队。😂,IP属地:北京,
yifan601,1分,不佳,景色1,趣味1,性价比1,不来长城心不甘，来了就后悔！早晨6点打车从宾馆出发，七点半排队，一个小时坐上摆渡车行走15分钟，又排队缆车两个多小时，坐缆车不到10分钟到北七楼，半个小时爬到北8楼，注意北8楼是关闭的，进不去，只能下楼，啥意思没有直接返回，又是重复上面动作。爬长城30分钟，熬了一早晨。花了1000多。全国任何地方的长城看看就行了，这个真没意思，就是费人费钱！,IP属地:北京,
匿名用户,1分,不佳,景色3,趣味5,性价比5,没有包含回来的索道！导游也没有告诉游客！,IP属地:湖北,
水果篮子87,2分,一般,景色2,趣味2,性价比2,人多，环境恶劣，垃圾到处都是,IP属地:浙江,
M57****5709,1分,不佳,景色1,趣味1,性价比1,就是一张门票,IP属地:北京,
-James-2017,1分,不佳,景色1,趣味1,性价比1,不推荐，服务差，景点坑,IP属地:河北,
匿名用户,1分,不佳,景色1,趣味1,性价比1,差  还是去其他长城吧,IP属地:浙江,
KL木木,1分,不佳,景色4,趣味1,性价比1,排了两个小时队坐十分钟缆车上到长城，下缆车之后拍了十来分钟的照片就走了。人特别多，整个长城都站满了人，行走都很困难。感觉就没限制人流，都是人挤人，什么都看不着。,IP属地:广东,
-James-2017,1分,不佳,景色1,趣味1,性价比1,地面缆车无指导，整体无引导人员，已购买地面缆车确没人提醒做地面缆车，竟然可以做空中缆车,IP属地:北京,
匿名用户,2分,一般,景色2,趣味2,性价比2,不来后悔，来了后悔。,IP属地:山东,
M22****6911,1分,不佳,景色1,趣味1,性价比1,不是纯玩家人们！一上车就开始推销那个什么表演，只想爬长城就没买，好笑的是，回来临时通知大巴车被用来载看表演的高贵顾客。没买表演的贫民就被像个皮球一样踢来踢去，大太阳下站了半天车，又被告知满员。又只能去找另外的车……导游换了一个又一个，都不认识。最后的车也是破到离谱，前玻璃裂了……用透明胶带贴的。我都怕一阵风吹散，玻璃渣掉脸上。总之就是，体验极差，不消费就把你当垃圾袋随便塞进一个车里拉回去。开始说的回去鸟巢参观，下车根本找不到导游，随便丢到地铁口散团。,IP属地:北京,
M27****1851,1分,不佳,景色4,趣味4,性价比1,长城缆车套票，因下山景区关闭缆车服务，申请退返程缆车票，四大两小只退了四个大人的，打客服电话显示查询不到订单了,IP属地:江苏,
匿名用户,1分,不佳,景色1,趣味1,性价比1,儿童票，没有预定上，还需要现场取纸质免费票。,IP属地:北京,
M46****7684,1分,不佳,景色1,趣味1,性价比1,都没去 票也不给退…,IP属地:江苏,
205****287,2分,一般,景色3,趣味2,性价比2,不到长城心不死,IP属地:浙江,
M22****0871,1分,不佳,景色1,趣味1,性价比1,额外增城梦华长城存在乱收费,IP属地:北京,
300****856,1分,不佳,景色1,趣味1,性价比1,太坑了！现在完全商业化，尤其有索道后！骗老百姓的钱,IP属地:陕西,
chan****g77,1分,不佳,景色5,趣味5,性价比1,接驳车就是吃翔的人设计和运营的，而且脑子里也注射了一些翔。现场还有人打架，太牛了。,IP属地:北京,
匿名用户,2分,一般,景色2,趣味2,性价比2,人多般，环境一般,IP属地:浙江,
孔晨阳,1分,不佳,景色5,趣味3,性价比1,认个大姐满大街跑，可笑了！说的8点发车，结果9点了还没找到车！非常可笑,IP属地:北京,
匿名用户,1分,不佳,景色5,趣味4,性价比1,服务人员态度太差,IP属地:北京,
M22****825,1分,不佳,景色3,趣味1,性价比1,做个索道上去是为了方便，结果走了那么远，一小天时间都花在了等索道上了，人多我们能理解，但是能不能照顾一下老、幼，在门口位置给一下合理化建议，人性化一些。例如在入门处给予几条路线规划，大约需要的时间，费用是多少，对景区来说很容易的事，就是广播一下，但是是外地第一次来的游客来说，就是很人性化的服务，不至于有来一次再也不来的体验。,IP属地:北京,
M53****2849,1分,不佳,景色1,趣味1,性价比1,感觉也就那样,IP属地:北京,
M57****253,2分,一般,景色4,趣味2,性价比2,排队的套路太深，看不到尽头的队伍，排了二个多小时才轮到缆车……,IP属地:天津,
118****478,2分,一般,景色3,趣味1,性价比1,排队三小时，坐缆车两分钟,IP属地:北京,
M10****334,1分,不佳,景色5,趣味1,性价比1,排队用了两个小时，正常都已经上山了，千万不要坐索道，因为你看到的队伍就是冰山一角，里面那叫一个长，也没有人提示你排多长时间，一问就是半个小时，全都骗人的。孩子哭闹的太多了。,IP属地:辽宁,
匿名用户,1分,不佳,景色1,趣味1,性价比1,这里面的导游和产品真好呀，产品写的12点半回来，我买完之后现场说下午2.30返程，回北京得5点多，然后我刚好买的6点的高铁，导游建议我不用去，说后台给我退款，隔天马上把我删了，真秀，虽然也才110块钱，但是见人品。,IP属地:湖北,
匿名用户,2分,一般,景色3,趣味1,性价比1,人超级多，自己走上去到检票口要很久很久，坐滑车上去的，死贵，不是登山爱好者就别去了，电视里看过就行了,IP属地:北京,
M29****993,1分,不佳,景色4,趣味3,性价比3,太多人排队了，水瓶垃圾一堆堆的,IP属地:湖南,
匿名用户,2分,一般,景色4,趣味2,性价比2,景色绝对值得一去，但人太多了，很多时间浪费在排队上,IP属地:北京,
_WeCh****11962,1分,不佳,景色1,趣味3,性价比1,排队3小时，一路上全程站着，没有拍队座椅，坐坐缆车2分钟，根本不看上午还是下午预订的，卫生间排队半小时➕，关键是很脏，东西也很贵，烤肠12，雪糕22，脉动12，可乐10元，泡面20，基本上没有服务态度可谈，八达岭长城站的高铁工作人员也很厉害，站点人工售票厅标识不详，还态度恶劣。说游客无理取闹，报警来抓。我听到只能呵呵。,IP属地:北京,
_WeCh****006760,2分,一般,景色5,趣味5,性价比1,877车起点出发6点，终点出发10点半，时间相差很大。建议提前时间，并半小时发一辆,IP属地:北京,
匿名用户,1分,不佳,景色3,趣味3,性价比1,体验非常不好，不要座缆车，排队几公里。还不如自己走上去。但是高德导航不了，好自为之。,IP属地:北京,
匿名用户,1分,不佳,景色1,趣味1,性价比1,"到了长城验票口刷身份证进不去，重新买票！
导游说能看鸟巢空中走廊，买了！保安说团队票不能看，导游收完钱去就走了，票也没给我们，鸟巢也不认，吃完亏回家！",IP属地:北京,
M30****1106,2分,一般,景色4,趣味2,性价比1,最短最贵的缆车,IP属地:四川,
做个快快乐乐每一天的人,1分,不佳,景色1,趣味1,性价比1,没有乘坐来回缆车，网上没有提醒当天天气。,IP属地:上海,
匿名用户,1分,不佳,景色1,趣味1,性价比1,用不了双程。管理混乱。,IP属地:北京,
大卫很忙1,2分,一般,景色2,趣味2,性价比2,不值得去，景点返回市区很麻烦,IP属地:河北,
M30****0799,1分,不佳,景色1,趣味1,性价比5,北八楼不能去,IP属地:江苏,
M33****063,1分,不佳,景色1,趣味1,性价比1,哎去了不后悔的应该没有,IP属地:重庆,
匿名用户,2分,一般,景色3,趣味1,性价比1,因为孩子小，又有点鼻塞，座位下弄了点纸屑。我回到车上找半天工具都没有，还是去后车借的扫帚打扫干净的。大巴司机上车后竟然要求我们打扫座位卫生。这是看不起谁呢？当我们没素质吗？你们作为服务行业，竟然还要乘客打扫车辆。有朋友也是做旅游行业的，人家到景点做的第一件事，就是等乘客后下车后，收拾车辆卫生。我还没说你个司机把一双臭拖鞋放在我座位下呢？也不知谁没素质！差评！！,IP属地:北京,
凡尘黄妮儿李,2分,一般,景色2,趣味2,性价比2,收费乱七八糟，当时三个孩子，都不知道收到啥，但是景点挺有纪念意义的,IP属地:广西,
M38****3228,1分,不佳,景色1,趣味1,性价比1,这个地方不行,IP属地:江苏,
九歌乀,1分,不佳,景色1,趣味1,性价比1,去了后悔，不去也后悔,IP属地:河南,
匿名用户,1分,不佳,景色1,趣味1,性价比1,时间紧，没赶上，过时间了不能退票！……很多景区没进能退，不合理！,IP属地:北京,
埃瓦尔,1分,不佳,景色1,趣味1,性价比1,酒店景点都是在携程定的，这个索道缆车不建议在携程定，体验非常不好，商品信息标识不清楚，我们买的双程的票，爬了几公里山，下山做缆车不允许的，我们四个人又画了320买了四张下山的缆车票，有票不能用，商品上也没有任何相关的说明，我们也会给有关的监督部门反馈的。,IP属地:上海,
匿名用户,2分,一般,景色5,趣味2,性价比1,携程并未明确说明外籍小朋友免费，仍然收取成人费用，联系退费没有任何回复，长城景色优美，但携程的business model实在令人失望。,IP属地:北京,
M32****1357,1分,不佳,景色1,趣味1,性价比1,儿童票本来免费，又没提供吃饭，居然收95元，商家丢北京人的脸,IP属地:广东,
派大饼,1分,不佳,景色2,趣味1,性价比1,"极差的体验，来回时间五个多小时，管理也乱糟糟的，出发开到一半说还加塞了人又返回去接，浪费了半小时，返程时间定在六点半，路上两小时，到市区晚饭也吃不上，餐厅都关门了，非常糟糕的体验。
而且感觉这个旅行团应该跟景区勾结一起，当天线上门票买不到，所以让游客只能买这种一日游的团，",IP属地:北京,
⑥震⑥,1分,不佳,景色1,趣味1,性价比1,去八达岭单程车票变成了旅游团捎带。头一天晚上导游通知订单的上车点取消了。早晨不到五点就打语音电话把我吵起来让我加微信群，觉都没睡好。早走了一个多小时，傻乎乎的骑了二十分钟共享单车到地铁站，又坐了八站地铁才到了坐车点。出了五环一路堵车，蛄蛹到八达岭已经十一点半了。,IP属地:北京,
grav,2分,一般,景色4,趣味3,性价比2,非常不喜欢，一方面五一人多，另一方面可能为了拉生意故意把回程时间拖到很晚，为了推销鸟巢和水立方夜景，拉游客生意。感受非常差。,IP属地:北京,
匿名用户,1分,不佳,景色1,趣味1,性价比1,原订10点半左右到八达岭，结果1点半左右才到，一路堵车，又出小事故，又耽误时间，买好返程的动车票被迫退票，体验感很差,IP属地:广西,
匿名用户,1分,不佳,景色3,趣味1,性价比1,坑人，提前不通知,IP属地:北京,
206****561,2分,一般,景色4,趣味3,性价比1,除了长城没啥值得看的。,IP属地:北京,
